site,month,surface_temp,clarity,conductivity,net,date_time_set,depth_1,depth_2,date_time_pull,lat,long
PEP,6,17.2,7.17,8.25,MIN15,6/15/2022 17:48,13.4,,6/16/2022 8:22,0,0
PEP,6,17.2,7.17,8.25,MIN20,6/15/2022 17:50,18.5,,6/16/2022 8:26,0,0
PEP,6,17.2,7.17,8.25,GIL20,6/15/2022 18:18,18.4,20.8,6/16/2022 6:16,0,0
PEP,6,17.2,7.17,8.25,MIN25,6/15/2022 17:56,23.3,,6/16/2022 8:29,0,0
PEP,6,17.2,7.17,8.25,MIN30,6/15/2022 18:00,28.4,,6/16/2022 8:32,0,0
PEP,6,17.2,7.17,8.25,GIL30,6/15/2022 18:04,27.4,29.9,6/16/2022 5:56,0,0
PEP,6,17.2,7.17,8.25,HOPS,6/15/2022 18:25,2.3,,6/16/2022 8:15,0,0
PEP,7,25.3,7.42,8.45,MINBEN01,7/22/2022 17:16,1.2,,7/23/2022 7:26,-119.6223433,40.000915
PEP,7,25.3,7.42,8.45,MINBEN02,7/22/2022 17:17,2,,7/23/2022 7:26,-119.6223167,40.00091167
PEP,7,25.3,7.42,8.45,MINBEN05,7/22/2022 17:17,5,,7/23/2022 7:23,-119.622285,40.00091333
PEP,7,25.3,7.42,8.45,MINBEN10,7/22/2022 17:18,10.1,,7/23/2022 7:20,-119.62168,40.000935
PEP,7,25.3,7.42,8.45,GIL10,7/22/2022 17:49,5.5,12.8,7/23/2022 6:03,-119.6214717,40.00402667
PEP,7,25.3,7.42,8.45,MINBEN15,7/22/2022 17:20,15,,7/23/2022 7:14,-119.6205817,40.00097167
PEP,7,25.3,7.42,8.45,MINBEN20,7/22/2022 17:33,21.2,,7/23/2022 7:11,-119.6186483,40.00166833
PEP,7,25.3,7.42,8.45,GIL20,7/22/2022 17:50,15.4,19.3,7/23/2022 5:36,-119.62089,40.00423167
PEP,7,25.3,7.42,8.45,MINBEN25,7/22/2022 17:35,25,,7/23/2022 7:07,-119.6179867,40.00181
PEP,7,25.3,7.42,8.45,MINBEN30,7/22/2022 17:38,31.1,,7/23/2022 7:04,-119.6170883,40.00170167
PEP,7,25.3,7.42,8.45,GIL30,7/22/2022 17:53,25,26.1,7/23/2022 5:22,-119.6179183,40.004925
PEP,7,25.3,7.42,8.45,HOPS,7/22/2022 17:46,2.4,3.1,7/23/2022 6:58,-119.6221783,40.00341833
PLQ,5,15,5.64,7.96,MIN01,5/25/2022 18:55,0.8,,5/26/2022 7:40,,
PLQ,5,15,5.64,7.96,MIN02,5/25/2022 18:55,1.9,,5/26/2022 7:44,,
PLQ,5,15,5.64,7.96,MIN05,5/25/2022 18:51,4.1,,5/26/2022 7:45,,
PLQ,5,15,5.64,7.96,GIL10,5/25/2022 18:15,9,10,5/26/2022 6:53,,
PLQ,5,15,5.64,7.96,MIN10,5/25/2022 18:47,8.7,,5/26/2022 7:53,,
PLQ,5,15,5.64,7.96,HOP10,5/25/2022 18:19,8.4,,5/26/2022 7:49,,
PLQ,5,15,5.64,7.96,MIN15,5/25/2022 18:43,13.4,,5/26/2022 7:57,,
PLQ,5,15,5.64,7.96,GIL20,5/25/2022 18:11,17.6,18.6,5/26/2022 6:31,,
PLQ,5,15,5.64,7.96,MIN20,5/25/2022 18:40,18.1,,5/26/2022 8:01,,
PLQ,5,15,5.64,7.96,HOP20,5/25/2022 18:24,17.7,,5/26/2022 8:06,,
PLQ,5,15,5.64,7.96,MIN25,5/25/2022 18:36,23.9,,5/26/2022 8:08,,
PLQ,5,15,5.64,7.96,GIL30,5/25/2022 18:07,26.3,26.9,5/26/2022 6:12,,
PLQ,5,15,5.64,7.96,MIN30,5/25/2022 18:32,27.4,,5/26/2022 8:12,,
